ID,LICENSE ID,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP CODE
2211296-20150316,2375453,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2211370-20140416,2309973,LEONARDO LOPEZ,BAMBI,2051 W 47TH ST,CHICAGO,IL,60609
2549857-20180516,2587682,HUBERT POWELL,3JJJ'S BETTER TASTE JAMAICAN JERK RESTAURANT,409 E 103RD ST 1,CHICAGO,IL,60628
2245335-20140916,2347257,TAMALLI SPACE CHARROS LLC,TAMALLI SPACE CHARROS LLC,324 N LEAVITT ST 1,CHICAGO,IL,60612
2211353-20150516,2387004,FELIPE BENITEZ,PHILLIP'S ICE CREAM,4221 N KEDZIE AVE,CHICAGO,IL,60618
1476454-20120116,2126003,THUNDERBIRD CATERING CO.,THUNDERBIRD CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2738073-20220426,2738073,ALEX'S CATERING CORP,ALEX'S CATERING,1204 W 36TH ST,CHICAGO,IL,60609
2694744-20191205,2694744,"MEXI-TACOS, INC.",MEXI-TACOS,2300 S THROOP ST,CHICAGO,IL,60608
2247050-20130520,2247050,GUSTAVO MORA,DELICIAS ICE CREAM,2813 W CERMAK RD,CHICAGO,IL,60623
2256465-20130520,2256465,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
2523409-20170626,2523409,ROSA I. FLORES,THE ICE CREAM MACHINE,4825 W ARTHINGTON ST,CHICAGO,IL,60644
2211417-20130516,2242074,JOSE LOPEZ,PALETERIA JALISCO,4219 N KEDZIE AVE,CHICAGO,IL,60618
2665045-20190920,2665045,EL RAYO TACOS INC.,EL RAYO TACOS INC,2300 S THROOP ST,CHICAGO,IL,60608
2211582-20150316,2378045,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
2211304-20170316,2507460,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2211498-20140816,2338215,PALETERIA AZTECA INC.,PALETERIA AZTECA #2,3119 W CERMAK RD 1ST CART 15,CHICAGO,IL,60623
2677729-20210716,2790964,VESSEL IL OPERATIONS LLC,REEF KITCHENS,135 N KEDZIE AVE,CHICAGO,IL,60612
2850279-20220916,2850279,IN THE FRAME LLC,IN THE FRAME LLC,324 N LEAVITT ST,CHICAGO,IL,60612
2252805-20140316,2314992,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2211579-20170316,2509705,REYNA DE SABORES INC.,PALETERIA REINA DE SABORES,3015 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2555660-20171227,2555660,RAMON TORRES III,AZTEC DAVE'S FOOD TRUCK,2300 S THROOP ST 1,CHICAGO,IL,60608
2506389-20170112,2506389,"CARNITAS,CHELAS AND CHICAS COMPANY #11",PALETERIA Y NEVERIA LA MEXICANA YOGURT AND CHURRO SHOP LTD,4171 S ARCHER AVE 1ST,CHICAGO,IL,60632
2252810-20160316,2443773,RAUL MARTINEZ,PALATERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2211298-20190316,2642758,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2211581-20150316,2378044,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
2496125-20170215,2496125,M M MIDWEST TRADING LLC,PIKO STREET KITCHEN,950  ESTES CT,SCHAUMBURG,IL,60193
2211641-20121229,2211641,"ASB INVESTMENT COMPANY, LLC",DUCK N' ROLL,3506 N CLARK ST 1ST,CHICAGO,IL,60657
2252819-20140316,2314974,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2283839-20151116,2427192,"CAP B, INC.",HAROLDS CHICKEN #55,2300 S THROOP ST,CHICAGO,IL,60608
2334840-20140807,2334840,"PEET'S COFFEE, INC.",PEET'S COFFEE & TEA,324 N LEAVITT ST,CHICAGO,IL,60612
2162368-20120725,2162368,"THE FALAFEL BROTHERS, INC.",FALAFEL BROTHERS,1800 S JEFFERSON ST 1ST,CHICAGO,IL,60616
2211525-20130916,2276307,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1,CHICAGO,IL,60625
2384856-20211116,2811128,"CAP B, INC.",HAROLD' S CHICKEN # 55,2300 S THROOP ST 1ST,CHICAGO,IL,60608
2590088-20180427,2590088,ABBY LERNER AND LINDA LERNER,LINDA'S MAGIC BROWNIES,3109 N BROADWAY,CHICAGO,IL,60657
2551082-20170901,2551082,JUSTIN DOGGETT LLC,KYOTO BLACK,6034 N BROADWAY  1,CHICAGO,IL,60660
2211557-20150316,2378021,REYNA DE SABORES INC.,PALETERIA REINA DE SABORES,3015 W LAWRENCE AVE 1ST,CHICAGO,IL,60625
2252830-20140316,2314984,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2211587-20170316,2509718,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
1445138-20111016,2111443,PAPA T'S ITALIANO,PAPA T'S ITALIANO,2843 - 2847 W 63RD ST,CHICAGO,IL,60629
2211460-20121229,2211460,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2492846-20170330,2492846,T&J FOOD SERVICES LLC,SAUSAGE FEST,2300 S THROOP ST 1,CHICAGO,IL,60608
2211300-20170316,2507457,"PALETERIAS MONARCA, CORP.",PALETERIA MONARCA,6955 N CLARK ST,CHICAGO,IL,60626
2256344-20190616,2670598,PANCHO' S ICE CREAM LLC,PANCHO' S ICE CREAM,4055 W 31ST ST 1ST,CHICAGO,IL,60623
